iter	Logloss
0	0.6778162757
1	0.6594865845
2	0.6402821666
3	0.625652327
4	0.6115042517
5	0.6002320087
6	0.584922713
7	0.5751626547
8	0.5617579374
9	0.550130751
10	0.5401127923
11	0.5279853679
12	0.5174256556
13	0.5069583677
14	0.4995576188
15	0.491186326
16	0.484019421
17	0.4747303814
18	0.461555218
19	0.455961331
20	0.4444698691
21	0.4352975138
22	0.4287914343
23	0.419797416
24	0.4132506758
25	0.4042704001
26	0.3983548507
27	0.3944818623
28	0.3863190465
29	0.3792393334
30	0.3736155212
31	0.3658238538
32	0.3578110807
33	0.3517278343
34	0.3479235366
35	0.3448279835
36	0.3382074788
37	0.3342677519
38	0.3290014625
39	0.3243783578
40	0.3201399162
41	0.3160349324
42	0.3105322458
43	0.305257155
44	0.3020825952
45	0.2969654277
46	0.292690026
47	0.2866536565
48	0.2827324308
49	0.2780034296
50	0.2740271591
51	0.270684512
52	0.2682123825
53	0.2644505061
54	0.2626819313
55	0.2589731522
56	0.2562469523
57	0.254175432
58	0.2503055107
59	0.2480232388
60	0.2453827273
61	0.2429323796
62	0.2404657055
63	0.2385563403
64	0.2353601247
65	0.2321537964
66	0.2298382103
67	0.2267189045
68	0.2218945909
69	0.2199349683
70	0.2182327759
71	0.2164297879
72	0.2144051358
73	0.212348089
74	0.2104743015
75	0.2086449835
76	0.2069424693
77	0.20481796
78	0.2016321987
79	0.1992408529
80	0.1973370526
81	0.1950995427
82	0.1930352967
83	0.1899122067
84	0.1878185272
85	0.1858859457
86	0.1846533187
87	0.1822962858
88	0.1796342913
89	0.1785864007
90	0.1761533562
91	0.174998543
92	0.1731997266
93	0.1712358881
94	0.1695683334
95	0.1677181669
96	0.1652721096
97	0.1638777949
98	0.1625306442
99	0.161152298
