iter	Passed	Remaining
0	1	127
1	2	114
2	3	109
3	4	114
4	5	113
5	6	108
6	8	107
7	9	109
8	10	107
9	11	105
10	12	102
11	13	102
12	15	102
13	16	99
14	17	96
15	18	95
16	19	93
17	20	92
18	21	89
19	22	88
20	23	86
21	24	86
22	25	85
23	26	84
24	27	83
25	28	82
26	30	81
27	30	78
28	31	77
29	32	75
30	33	74
31	34	73
32	35	72
33	36	71
34	38	70
35	39	69
36	40	69
37	41	67
38	42	66
39	43	65
40	44	64
41	45	63
42	47	62
43	48	61
44	49	60
45	50	59
46	51	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	52
53	59	50
54	60	49
55	62	48
56	63	47
57	64	46
58	65	45
59	66	44
60	68	43
61	69	42
62	70	41
63	72	40
64	73	39
65	74	38
66	75	37
67	76	36
68	77	35
69	80	34
70	80	32
71	81	31
72	83	30
73	84	29
74	85	28
75	86	27
76	86	25
77	87	24
78	88	23
79	90	22
80	91	21
81	92	20
82	93	19
83	94	18
84	95	16
85	97	15
86	98	14
87	99	13
88	100	12
89	102	11
90	103	10
91	103	9
92	104	7
93	106	6
94	107	5
95	108	4
96	109	3
97	110	2
98	112	1
99	113	0
